"edition","m201903","m201904","m201905","m201906","m201907","m201908","m201909","m201910","m201911","m201912","m202001","m202002","m202003","m202004","m202005","m202006","m202007","m202008","m202009","m202010","m202011","m202012","m202101","m202102","m202103","m202104","m202105","m202106","m202107","m202108","m202109","m202110","m202111","m202112","m202201","m202202","m202203","m202204","m202205","m202206","m202207","m202208","m202209","m202210","m202211","m202212","m202301","m202302","m202303","m202304","m202305","m202306","m202307","m202308","m202309","m202310","m202311","m202312","m202401","m202402","m202403","m202404","m202405","m202406","m202407","m202408","m202409","m202410","m202411","m202412","m202501","m202502","m202503","m202504","m202505","m202506","m202507","m202508","m202509","m202510","m202511","m202512"
"(V.3, N.10, P.2, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","4","2","1","3","6","4","2","0","0","0","1","0","0","1","3","2","1","16","5","4","8","7","5","6","6","7","11","6","4","10","5","4","7","10","7","5","2","4","7","3","5","1","4","5","7","4","1","1","1","4","4","3","2","2","0","1","0","1","0","0","0"
"(V.3, N.10, P.3, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","103","159","103","106","70","63","139","121","22","19","93","47","57","65","51","70","77","103","116","105","95","66","168","1197","99","84","70","6","61","31","36","48","48","41","40","42","18","12","27","9","8","11","11","16","13","6","3","5","0","5","2","15","3","3","3","4","4","1","1","0","0"
"(V.3, N.10, P.4, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","11","7","17","24","23","17","9","4","4","1","5","16","2","3","7","4","13","15","9","6","18","34","46","21","18","15","12","5","25","53","26","12","24","20","17","21","27","8","16","16","41","32","23","9","23","23","19","18","5","11","5","8","16","10","4","3","2","3","1","0","0"
"(V.3, N.11, P.1, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38","6","18","26","86","85","52","45","20","22","25","22","20","12","5","22","15","30","24","30","25","21","44","34","20","15","12","18","1","13","36","28","13","24","22","25","21","21","18","19","24","61","30","19","31","74","35","19","11","14","9","15","16","34","33","8","17","10","3","7","0","0"
"(V.3, N.12, P.1, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","87","0","2","7","16","3","5","3","1","0","1","6","2","0","1","4","1","2","3","8","4","5","0","36","5","0","1","3","1","0","2","14","6","1","0","1","2","0","2","2","4","1","2","7","0","4","0","1","0","2","1","0","0","1","0","2","1","1","0","0","0"
"(V.3, N.12, P.2, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","6","8","21","24","7","10","9","2","6","5","3","8","2","7","2","2","3","9","3","11","5","4","23","6","4","1","5","16","7","1","4","7","12","3","3","4","7","3","6","7","5","4","7","6","6","3","3","6","1","4","4","10","8","4","2","2","2","2","0","0"
"(V.3, N.12, P.3, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","41","5","23","13","6","2","6","1","0","1","0","0","1","0","1","0","0","0","0","7","7","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(V.3, N.12, P.5, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","6","24","14","16","9","0","0","1","0","1","0","19","2","2","0","0","3","2","2","1","6","1","14","3","0","1","1","2","4","0","2","2","2","1","2","0","1","2","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(V.4, N.1, P.2, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","68","182","258","181","316","462","101","146","454","260","182","166","181","208","244","218","283","298","385","558","1058","939","575","542","569","291","477","418","338","220","374","466","637","346","195","99","82","189","200","192","169","230","209","215","307","177","121","84","98","149","71","72","41","56","35","34","22","0","0"
"(V.4, N.1, P.4, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","1","2","4","18","2","1","1","0","0","1","1","4","0","0","0","0","4","4","5","2","12","4","1","1","0","0","1","7","1","1","3","5","1","4","2","2","4","2","4","8","4","0","4","5","1","0","2","3","0","0","1","1","2","2","0","0","0"
"(V.4, N.2, P.3, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","6","11","38","10","33","2","6","16","22","21","24","19","14","9","14","20","46","14","18","13","8","11","105","36","3","5","19","14","17","14","10","5","7","5","10","10","8","12","8","8","9","13","15","82","14","12","106","19","7","11","31","13","5","5","8","14","0","0"
"(V.4, N.2, P.4, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12","2","7","6","1","10","2","0","4","1","1","0","1","2","3","3","3","3","2","6","0","2","36","2","13","2","10","4","5","10","5","5","3","1","2","2","2","4","1","3","3","2","2","0","0","1","1","1","1","1","1","1","0","0","1","0","0"
"(V.4, N.3, P.2, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","28","6","4","34","2","1","1","1","5","0","2","1","3","1","6","7","11","4","6","7","7","4","70","2","0","0","2","3","0","0","4","16","29","5","6","2","4","1","2","4","1","5","0","1","1","4","1","1","3","1","2","4","0","0","0","0","0"
"(V.4, N.3, P.5, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","13","11","41","2","1","8","3","8","4","11","17","6","10","18","9","6","12","13","14","15","8","9","39","12","10","21","8","17","21","38","30","14","6","19","10","15","8","15","16","13","14","13","5","9","1","6","10","5","1","1","2","6","3","0","0","0"
"(V.4, N.4, P.1, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65","145","189","319","93","87","121","210","125","72","194","209","167","192","168","125","174","199","202","204","182","185","423","211","436","404","287","220","336","413","288","269","240","238","427","416","320","322","256","274","277","270","199","168","167","193","244","228","170","132","104","95","74","72","30","0","0"
"(V.4, N.4, P.2, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","28","27","67","10","0","2","21","17","21","9","8","9","6","3","6","10","8","8","4","15","19","21","5","24","7","19","9","6","4","4","8","3","4","7","7","7","1","0","4","0","2","1","2","2","2","7","0","1","2","1","1","1","3","0","0","0"
"(V.4, N.5, P.2, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","71","2","1","4","8","1","0","1","3","2","10","7","6","6","1","4","4","4","2","4","0","1","13","5","1","2","3","2","0","2","0","0","5","0","3","1","5","3","7","6","8","3","0","3","2","1","0","1","1","4","1","0","0","0"
"(V.4, N.5, P.4, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","75","45","10","22","49","45","23","37","60","27","22","67","40","50","58","99","136","102","62","46","25","37","110","61","39","19","28","26","48","47","24","35","30","35","49","59","40","79","74","108","23","23","26","30","51","25","22","12","14","7","3","3","0","0"
"(V.4, N.6, P.1, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","5","7","1","1","0","3","1","0","0","0","1","7","3","1","4","4","2","4","11","10","0","1","1","14","1","2","2","3","3","0","0","2","1","3","0","1","2","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"(V.4, N.6, P.2, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","15","5","2","2","2","1","1","3","2","1","2","4","11","3","3","4","9","1","20","2","0","9","0","9","4","6","9","8","7","3","8","7","3","6","0","5","10","9","6","11","2","8","7","3","4","4","5","4","10","10","2","5","0","0"
"(V.4, N.6, P.4, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52","19","42","3","0","0","2","17","2","0","0","1","0","1","2","1","1","0","36","0","3","3","5","0","3","11","1","2","3","0","0","2","3","1","7","3","0","2","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"(V.4, N.7, P.1, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","6","0","3","1","10","6","2","6","0","3","2","4","2","4","1","7","0","1","2","0","1","13","0","3","2","0","3","1","0","0","0","0","1","2","0","2","1","0","2","1","0","0","0","0","0","1","2","0","0","0","0","0","0"
"(V.4, N.7, P.2, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","8","0","5","1","0","2","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","1","2","4","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(V.4, N.7, P.4, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","156","17","3","0","3","2","8","2","5","2","6","6","3","1","11","2","5","6","1","3","0","4","3","6","3","8","23","5","11","6","7","3","7","5","2","0","3","3","1","5","2","3","2","4","3","1","1","1","0","1","1","2","0","0"
"(V.4, N.8, P.1, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","10","8","1","7","9","1","2","0","4","0","0","2","1","1","1","0","2","0","6","5","3","1","3","2","0","3","1","0","2","7","4","5","4","5","7","3","5","1","3","6","3","5","5","7","9","1","2","0","5","0","0"
"(V.4, N.8, P.2, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","91","109","59","88","42","43","48","41","50","57","71","138","282","386","299","325","280","130","310","359","254","160","152","153","229","171","142","154","133","137","97","143","113","79","86","88","99","100","68","72","52","59","37","50","56","34","40","32","17","0","0"
"(V.4, N.8, P.4, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","3","0","2","0","0","0","0","1","2","0","2","2","1","1","1","40","0","0","1","1","1","1","2","0","4","0","0","0","0","0","0","0","0","4","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"(V.4, N.8, P.5, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","12","19","10","8","6","2","3","7","8","2","4","5","3","4","5","5","7","3","5","5","8","11","2","7","2","3","5","5","5","2","1","6","0","2","3","5","3","1","2","0","2","2","3","2","3","2","0","2","0","0","0"
"(V.4, N.9, P.1, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","30","36","27","28","42","33","45","60","77","292","114","89","60","51","95","95","41","79","81","104","110","527","104","306","5817","1509","83","59","45","73","39","50","36","44","50","31","40","28","17","21","35","27","21","27","20","32","33","4","0","0"
"(V.4, N.9, P.4, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","5","2","0","2","26","12","5","0","0","1","2","4","3","0","3","15","2","0","0","1","1","0","4","2","0","0","0","0","0","0","1","0","2","4","1","0","2","2","1","2","3","0","2","1","1","1","0","1","0","0"
"(V.4, N.10, P.2, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52","34","5","11","11","2","3","5","2","3","7","3","4","2","3","3","4","3","2","1","1","0","4","2","3","1","1","0","3","4","2","2","4","2","4","7","5","1","1","0","1","0","0","0","1","1","0","0","0","0"
"(V.4, N.11, P.1, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","19","8","29","11","16","21","25","18","13","16","17","35","20","20","3","20","11","13","11","21","20","25","19","15","15","23","17","10","17","8","12","8","14","15","6","7","9","7","7","7","7","5","1","4","2","2","0","0"
"(V.4, N.11, P.3, 2021)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","3","1","5","0","18","12","7","10","11","37","17","4","8","14","5","16","15","11","12","4","5","10","21","10","10","1","5","3","10","8","5","6","5","7","15","4","2","2","1","2","3","4","1","3","1","4","0","0"
"(V.5, N.1, P.1, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","7","0","3","5","7","7","13","11","23","9","5","16","2","0","7","16","10","4","9","14","9","8","8","6","12","7","8","14","9","17","14","11","15","15","8","11","9","6","4","2","2","5","2","2","0","0"
"(V.5, N.1, P.5, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","5","12","8","7","9","5","15","39","32","16","26","50","55","140","97","106","99","70","78","64","55","24","33","52","99","60","57","57","45","35","30","21","15","10","7","4","18","15","5","6","4","5","2","1","0","0"
"(V.5, N.2, P.1, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","4","1","1","5","5","4","5","1","4","0","2","0","1","5","2","4","2","2","1","0","2","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0"
"(V.5, N.2, P.2, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","7","17","12","11","16","23","12","37","18","10","19","9","25","6","10","21","46","17","34","65","11","7","10","19","15","23","14","12","19","15","23","46","44","47","56","55","39","41","31","29","14","14","10","0","0"
"(V.5, N.2, P.3, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","1","3","2","0","0","0","0","0","0","1","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"(V.5, N.2, P.4, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","7","16","5","10","5","8","27","6","6","17","5","3","0","3","13","4","14","28","3","7","7","3","5","18","13","14","5","11","19","21","22","15","7","0","5","10","10","5","3","4","1","6","2","0","0"
"(V.5, N.3, P.1, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","8","35","70","185","384","334","394","150","163","245","106","210","293","250","210","336","337","330","266","173","173","221","265","202","184","207","155","156","188","128","129","93","118","125","114","81","88","79","81","64","19","20","0","0"
"(V.5, N.4, P.1, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","4","3","4","6","4","6","7","15","15","24","8","12","23","23","18","20","30","13","14","23","18","8","21","27","19","23","16","14","19","3","13","14","20","9","10","11","7","7","11","9","3","0","0"
"(V.5, N.4, P.3, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","8","0","0","0","6","10","0","0","9","3","4","2","4","1","1","0","0","0","0","0","2","0","0","2","2","1","2","1","0","0","0","0","0","1","2","1","4","0","0","0","0","0","0"
"(V.5, N.4, P.4, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","4","3","7","5","4","1","0","2","2","0","1","0","0","0","0","0","2","0","0","1","0","0","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(V.5, N.5, P.2, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","4","7","11","10","-100","0","17","8","8","10","19","18","7","6","5","1","5","16","3","6","11","17","6","2","4","0","11","5","5","1","0","0","3","0","3","2","1","3","2","0","0","0"
"(V.5, N.5, P.3, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","41","64","85","163","312","0","526","563","172","384","421","426","343","459","507","405","459","407","390","517","429","377","308","343","229","205","250","223","220","161","179","165","150","74","99","59","68","71","42","44","0","0"
"(V.5, N.5, P.5, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","1","0","0","2","0","2","0","0","2","5","0","1","0","0","0","0","0","0","0","0","0","0","0","4","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(V.5, N.5, P.6, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61","85","296","246","183","138","0","31","64","25","45","107","151","75","351","351","392","388","104","67","132","180","168","195","189","81","133","111","127","88","18","26","67","53","37","66","39","28","31","27","8","0","0"
"(V.5, N.6, P.3, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","25","88","102","106","0","34","80","30","115","136","154","95","137","192","160","145","45","36","123","99","88","103","71","37","95","101","96","57","17","23","40","56","72","51","24","8","25","31","16","0","0"
"(V.5, N.7, P.3, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","65","30","24","0","17","19","8","8","14","8","10","12","10","8","7","1","3","6","5","1","8","10","5","8","14","9","11","2","3","6","6","13","21","27","9","17","4","4","0","0"
"(V.5, N.8, P.1, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","16","14","0","14","20","48","14","38","41","44","70","84","70","41","46","49","110","89","58","113","49","43","93","64","46","27","34","31","36","22","16","31","20","14","22","5","9","0","0"
"(V.5, N.8, P.3, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","7","0","7","4","9","0","0","0","1","7","1","4","6","4","3","0","1","3","0","0","2","3","1","2","2","2","2","0","1","0","0","5","1","6","0","0","0","0"
"(V.5, N.8, P.5, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","12","13","0","19","16","9","21","18","15","12","20","15","12","17","9","17","19","3","11","7","10","16","16","11","10","8","4","6","11","13","5","8","3","3","8","8","1","0","0"
"(V.5, N.8, P.6, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","10","15","0","16","11","5","15","3","1","3","8","18","10","20","8","4","11","10","12","15","11","15","17","15","14","20","14","11","16","12","13","13","14","9","21","9","3","0","0"
"(V.5, N.9, P.1, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","87","299","0","371","188","9","191","354","218","184","188","393","219","153","91","82","85","145","121","90","95","73","75","80","79","64","42","24","50","28","36","23","13","10","10","13","18","0","0"
"(V.5, N.9, P.2, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","8","0","11","8","3","0","0","0","0","0","3","7","10","5","1","4","8","5","5","7","2","1","6","3","0","1","0","0","1","2","2","1","5","2","0","0","0","0"
"(V.5, N.10, P.1, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","4","3","0","0","0","0","0","1","1","3","2","2","0","5","3","2","2","1","3","1","2","0","0","1","0","1","2","0","0","1","1","0","1","0","0","0"
"(V.5, N.10, P.2, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","283","0","1820","3140","238","1791","2475","1816","1393","1319","1495","1664","1405","804","636","1021","774","501","550","432","261","302","392","538","407","156","151","206","176","93","78","73","53","38","22","9","0","0"
"(V.5, N.10, P.3, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","0","14","15","2","6","11","7","11","21","11","4","4","12","4","4","3","4","2","2","4","3","0","2","0","1","0","2","1","0","0","2","0","0","1","0","0","0"
"(V.5, N.10, P.4, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44","0","16","26","19","33","57","54","28","38","50","35","68","23","12","18","33","27","29","17","17","13","16","22","28","14","14","18","25","25","19","14","11","8","15","4","0","0"
"(V.5, N.11, P.2, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","45","32","92","154","173","93","106","147","118","162","81","46","80","95","55","148","160","82","146","158","118","106","45","43","37","35","36","42","23","11","30","32","17","0","0"
"(V.5, N.12, P.1, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","32","23","46","89","65","55","53","56","64","41","33","54","33","54","40","48","39","30","31","36","21","32","17","23","26","18","17","12","16","13","28","13","5","0","0"
"(V.5, N.12, P.5, 2022)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","98","125","167","105","84","68","73","101","104","111","65","55","90","142","112","100","56","55","68","77","58","48","41","44","105","76","46","19","24","14","13","27","12","0","0"
"(V.6, N.1, P.1, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","15","2","0","0","1","0","11","14","8","11","3","3","7","4","3","3","4","7","6","7","2","8","6","3","7","7","6","7","4","3","6","1","0","0"
"(V.6, N.1, P.4, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","16","0","2","2","0","0","1","4","3","2","0","3","4","2","1","2","2","3","4","5","22","2","3","5","5","2","3","2","3","3","4","0","0","0"
"(V.6, N.1, P.5, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48","6","1","0","2","0","0","4","4","1","0","1","1","4","5","1","3","7","9","12","21","10","5","10","8","4","5","5","6","8","7","2","6","0","0"
"(V.6, N.2, P.1, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","6","0","0","1","5","13","12","11","8","14","10","23","48","58","83","37","117","147","99","98","67","43","60","77","64","57","72","44","42","46","33","0","0"
"(V.6, N.3, P.3, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","4","4","10","4","9","11","27","8","20","5","8","13","35","35","27","34","52","52","31","46","37","38","32","55","53","48","20","29","18","11","0","0"
"(V.6, N.3, P.4, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36","9","5","4","9","5","4","4","8","4","10","2","3","7","8","3","5","5","10","5","2","2","5","51","1","4","1","2","4","2","1","0","0"
"(V.6, N.4, P.3, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","17","11","14","35","24","35","19","18","36","44","27","18","27","16","42","24","17","15","13","13","17","17","13","8","7","4","5","3","3","0","0"
"(V.6, N.6, P.4, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","7","3","6","8","5","5","3","7","4","6","11","14","4","6","4","4","3","4","4","5","3","2","0","2","1","2","0","0"
"(V.6, N.7, P.1, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","2","2","0","3","2","0","1","0","2","0","7","6","2","1","6","2","0","0","6","1","3","0","0","1","0","3","0","0"
"(V.6, N.7, P.2, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","4","3","1","1","5","0","2","1","2","6","8","4","2","1","2","6","1","1","1","0","1","1","3","5","1","0","0"
"(V.6, N.7, P.4, 2023)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","3","2","3","2","2","1","3","0","1","5","2","0","0","1","1","2","2","5","2","0","2","0","0","1","0","1","0","0"
