post,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,total
"(V.2, N.5, P.1, 2019)",0,0,0,7,7,5,10,21,10,10,8,26,16,6,4,3,1,10,4,4,1,2,1,4,1,1,0,2,2,0,0,0,1,0,0,0,0,0,13,0,1,0,1,0,0,0,2,0,0,1,1,3,0,0,1,0,190
"(V.2, N.5, P.2, 2019)",0,0,0,6,15,15,17,34,39,25,25,46,29,22,21,28,27,22,9,26,5,40,55,36,61,83,41,48,34,16,11,48,34,24,34,13,20,24,29,161,28,88,42,29,25,25,26,22,9,21,28,53,23,28,19,16,1705
"(V.2, N.5, P.3, 2019)",0,0,0,8,3,6,2,6,12,4,9,16,6,4,38,3,0,1,7,5,3,0,1,3,1,6,5,0,21,2,3,0,0,0,2,3,0,2,49,1,2,0,1,3,2,0,0,1,0,3,1,2,0,0,1,1,249
"(V.2, N.5, P.4, 2019)",0,0,0,53,28,35,57,70,80,52,54,55,54,52,59,43,34,23,27,18,6,20,41,37,55,44,12,12,8,13,11,13,13,6,9,7,16,15,11,19,19,14,13,10,24,19,17,8,4,6,19,17,10,13,14,16,1385
"(V.2, N.5, P.5, 2019)",0,0,0,56,16,28,24,89,57,52,38,69,64,76,78,83,82,106,25,44,41,132,137,296,513,553,358,325,174,120,233,157,152,74,44,100,157,144,136,242,126,231,231,143,105,75,32,150,127,142,170,94,44,100,155,124,7124
"(V.2, N.6, P.1, 2019)",0,0,0,0,28,51,57,86,93,107,97,97,79,122,88,89,67,132,20,21,25,86,103,86,120,128,59,46,32,27,42,97,57,73,65,73,83,64,77,52,48,87,57,75,56,64,74,62,48,80,70,57,53,73,54,66,3653
"(V.2, N.6, P.2, 2019)",0,0,0,0,22,38,59,78,88,78,70,63,61,57,41,23,25,21,10,11,12,29,28,24,36,44,16,25,15,10,2,9,10,14,4,14,8,11,23,12,11,21,20,11,22,26,14,16,10,13,21,8,11,12,19,16,1342
"(V.2, N.6, P.3, 2019)",0,0,0,0,7,6,10,11,21,16,23,26,5,19,16,10,16,23,5,9,4,10,12,15,24,18,9,7,21,1,1,2,12,5,6,5,3,7,16,7,10,6,7,10,9,5,4,4,0,13,7,9,7,11,7,6,523
"(V.2, N.6, P.4, 2019)",0,0,0,0,21,19,19,17,27,26,26,33,22,25,33,61,10,11,6,9,15,8,4,1,3,7,9,20,5,2,3,1,3,9,1,0,3,1,2,3,1,5,6,14,2,2,3,3,5,3,4,7,3,1,1,2,527
"(V.2, N.6, P.5, 2019)",0,0,0,0,26,10,16,11,5,12,2,14,7,10,16,4,1,3,4,7,2,5,4,2,3,7,5,3,3,1,2,10,19,1,0,5,0,1,1,1,2,4,7,5,1,3,1,3,10,2,3,6,2,5,3,5,285
"(V.2, N.7, P.1, 2019)",0,0,0,0,0,11,11,16,10,7,20,25,5,8,14,11,7,7,5,10,0,2,1,1,7,2,1,5,17,1,1,0,3,1,6,2,2,5,1,1,1,4,9,1,0,0,1,0,1,5,0,2,0,1,3,3,257
"(V.2, N.7, P.2, 2019)",0,0,0,0,0,16,4,9,13,11,15,27,12,5,21,7,3,7,1,34,5,1,1,1,3,3,0,4,11,1,0,0,2,0,1,3,1,0,0,3,2,4,4,0,0,0,0,4,0,0,0,3,1,0,0,1,244
"(V.2, N.7, P.3, 2019)",0,0,0,0,0,57,84,79,63,60,28,33,21,34,24,28,40,37,15,15,10,64,60,41,46,73,39,43,23,9,5,3,11,14,12,20,37,51,15,7,7,6,7,7,3,8,6,6,11,8,13,18,3,8,8,4,1324
"(V.2, N.7, P.4, 2019)",0,0,0,0,0,71,85,131,108,81,79,108,115,115,189,282,357,296,75,134,114,358,214,231,643,992,441,482,215,72,81,194,242,192,280,105,99,99,173,294,292,280,408,570,842,528,592,509,135,402,350,566,409,326,304,150,14410
"(V.2, N.7, P.5, 2019)",0,0,0,0,0,28,39,53,70,43,39,49,49,33,65,50,64,65,15,25,6,50,40,34,46,49,20,34,11,4,3,11,15,10,8,7,5,2,29,10,20,18,28,21,18,20,13,12,6,16,18,14,22,23,23,16,1369
"(V.2, N.7, P.6, 2019)",0,0,0,0,0,45,53,75,77,47,38,51,32,44,77,52,44,23,14,30,15,22,19,18,26,45,20,97,14,11,14,11,14,8,7,6,22,13,12,14,9,17,11,5,10,9,2,4,2,9,9,8,5,2,3,1,1216
"(V.2, N.8, P.1, 2019)",0,0,0,0,0,0,13,14,15,6,7,12,6,3,8,9,6,3,6,6,3,1,0,2,4,5,4,13,5,2,2,3,2,3,5,1,9,5,3,6,5,4,5,7,1,2,3,2,0,2,4,2,5,2,5,4,245
"(V.2, N.8, P.2, 2019)",0,0,0,0,0,0,17,20,17,6,10,28,8,25,10,5,2,8,3,8,4,2,1,0,5,5,1,10,3,2,19,2,1,1,3,1,1,1,1,3,5,2,3,0,1,1,0,0,0,1,4,2,4,9,3,4,272
"(V.2, N.8, P.3, 2019)",0,0,0,0,0,0,5,4,9,6,5,20,4,4,4,1,7,1,4,7,3,2,1,3,5,4,4,2,6,1,13,3,4,1,4,1,1,4,0,0,1,5,7,1,2,2,2,0,2,1,1,1,0,0,0,1,169
"(V.2, N.8, P.4, 2019)",0,0,0,0,0,0,98,78,81,39,43,63,83,82,70,39,38,24,13,21,6,9,14,9,27,24,15,59,28,12,94,23,18,10,13,19,15,20,32,35,9,14,14,17,26,3,7,2,2,13,12,5,7,16,9,22,1432
"(V.2, N.9, P.1, 2019)",0,0,0,0,0,0,0,16,23,18,10,36,35,29,33,47,24,25,10,17,16,24,15,27,79,85,33,44,40,7,9,35,24,30,9,15,22,13,22,17,21,37,26,34,58,34,21,19,1,22,20,23,23,25,9,19,1281
"(V.2, N.9, P.2, 2019)",0,0,0,0,0,0,0,16,36,21,15,28,16,32,17,14,6,12,15,18,6,20,20,18,19,21,8,14,10,7,1,5,6,1,6,4,11,3,5,1,4,3,5,1,1,1,3,0,0,0,2,4,2,3,2,4,467
"(V.2, N.9, P.3, 2019)",0,0,0,0,0,0,0,68,88,60,23,89,78,116,165,78,42,42,10,28,34,42,30,49,55,98,502,102,32,70,4,16,95,22,34,77,125,36,116,41,20,102,38,38,71,36,14,36,33,48,249,44,40,23,39,63,3361
"(V.2, N.9, P.4, 2019)",0,0,0,0,0,0,0,34,28,30,16,62,70,47,37,57,36,51,10,13,26,34,38,46,67,61,44,50,42,25,16,42,50,62,39,52,144,78,39,53,62,58,0,70,63,26,36,75,54,61,63,56,37,104,54,51,2369
"(V.2, N.9, P.5, 2019)",0,0,0,0,0,0,0,60,26,15,23,58,79,20,21,41,27,31,13,18,9,17,14,27,91,25,31,37,17,13,12,16,21,6,8,29,127,27,36,64,32,57,46,55,50,11,14,18,92,38,28,9,18,22,9,6,1564
"(V.2, N.10, P.1, 2019)",0,0,0,0,0,0,0,0,48,43,102,56,4,3,14,14,9,2,5,1,4,4,7,9,10,15,3,6,2,4,1,1,2,9,4,1,3,9,9,5,7,8,9,11,10,6,5,4,0,0,3,3,0,5,3,1,484
